class,N,T
0,0.836,0.164
0,0.872,0.128
0,0.826,0.174
0,0.862,0.138
0,0.788,0.212
0,0.84,0.16
0,0.87,0.13
0,0.958,0.042
0,0.946,0.054
0,0.85,0.15
0,0.834,0.166
0,0.956,0.044
0,0.848,0.152
0,0.82,0.18
0,0.916,0.084
0,0.884,0.116
0,0.94,0.06
0,0.86,0.14
0,0.854,0.146
0,0.8,0.2
0,0.966,0.034
0,0.91,0.09
0,0.832,0.168
0,0.84,0.16
0,0.902,0.098
0,0.88,0.12
0,0.834,0.166
0,0.794,0.206
0,0.854,0.146
0,0.904,0.096
0,0.826,0.174
0,0.85,0.15
0,0.966,0.034
0,0.894,0.106
0,0.916,0.084
0,0.906,0.094
0,0.788,0.212
0,0.918,0.082
0,0.834,0.166
0,0.74,0.26
0,0.968,0.032
0,0.824,0.176
0,0.916,0.084
0,0.784,0.216
0,0.816,0.184
0,0.862,0.138
0,0.804,0.196
0,0.926,0.074
0,0.834,0.166
0,0.76,0.24
0,0.832,0.168
0,0.812,0.188
0,0.888,0.112
0,0.928,0.072
0,0.828,0.172
0,0.938,0.062
0,0.776,0.224
0,0.942,0.058
0,0.812,0.188
0,0.826,0.174
0,0.836,0.164
0,0.828,0.172
0,0.95,0.05
0,0.838,0.162
0,0.936,0.064
0,0.852,0.148
0,0.922,0.078
0,0.878,0.122
0,0.844,0.156
0,0.916,0.084
0,0.862,0.138
0,0.862,0.138
0,0.918,0.082
0,0.918,0.082
0,0.836,0.164
0,0.812,0.188
0,0.936,0.064
0,0.762,0.238
0,0.822,0.178
0,0.768,0.232
0,0.874,0.126
0,0.918,0.082
0,0.928,0.072
1,0.142,0.858
1,0.15,0.85
1,0.028,0.972
1,0.184,0.816
1,0.252,0.748
1,0.174,0.826
1,0.164,0.836
1,0.146,0.854
1,0.204,0.796
1,0.234,0.766
1,0.258,0.742
1,0.246,0.754
1,0.01,0.99
1,0.154,0.846
1,0.03,0.97
1,0.244,0.756
1,0.226,0.774
1,0.12,0.88
1,0.056,0.944
1,0.042,0.958
1,0.198,0.802
1,0.22,0.78
1,0.226,0.774
1,0.026,0.974
1,0.146,0.854
1,0.136,0.864
1,0.218,0.782
1,0.172,0.828
1,0.148,0.852
1,0.214,0.786
1,0.058,0.942
1,0.004,0.996
1,0.254,0.746
1,0.178,0.822
1,0.278,0.722
1,0.224,0.776
1,0.008,0.992
1,0.152,0.848
1,0.218,0.782
1,0.118,0.882
1,0.156,0.844
1,0.002,0.998
1,0.348,0.652
1,0.154,0.846
1,0.268,0.732
1,0.038,0.962
1,0.108,0.892
1,0.088,0.912
1,0.326,0.674
1,0.006,0.994
1,0.02,0.98
1,0.022,0.978
1,0.18,0.82
1,0.082,0.918
1,0,1
1,0.072,0.928
1,0,1
1,0.032,0.968
1,0.194,0.806
1,0.13,0.87
1,0.144,0.856
1,0,1
1,0.17,0.83
1,0.132,0.868
1,0.338,0.662
1,0.176,0.824
1,0.07,0.93
1,0.046,0.954
1,0.138,0.862
1,0.114,0.886
1,0.108,0.892
1,0.13,0.87
1,0.168,0.832
1,0.104,0.896
1,0.126,0.874
1,0.204,0.796
1,0.124,0.876
1,0.046,0.954
1,0.166,0.834
1,0.082,0.918
1,0.002,0.998
1,0.22,0.78
1,0.122,0.878
